year,state_fips,county_fips,county_name,precip_sum_mm,tmean_c,tmax_c,tmin_c
2010,17,165,Saline,263.9742629942449,26.162156814147917,32.02856153826902,20.29675755108408
2010,17,101,Lawrence,360.47643485284607,25.88595570233329,31.746761924266178,20.026134239718893
2010,17,045,Edgar,370.5214475807323,24.814085633765544,30.62419517580637,19.004975453407056
2010,17,071,Henderson,513.9836240745504,24.536207302939943,29.713855334734713,19.359541399749872
2010,17,199,Williamson,259.32057484587915,26.415286053128934,32.27042336359451,20.561138956157443
2010,17,077,Jackson,221.97149726709964,26.721617667724068,32.55301490543396,20.891225761770144
2010,17,147,Piatt,389.90107684179617,24.53612476368933,30.204046939003472,18.86918717240936
2010,17,053,Ford,315.1306298393097,23.853733705864443,30.00317990850244,17.705276733919224
2010,17,019,Champaign,383.174211907456,24.431891055484794,30.2796406086863,18.585134772537852
2010,17,029,Coles,407.56755899596146,25.02106102000342,30.62986498755256,19.413256892874944
