year,period,state_fips,county_fips,county_name,ndvi_mean,crop_pixel_count
2010,jun,31,163,Sherman,0.6772107439926064,51
2010,jun,31,161,Sheridan,0.6036912399690472,4806
2010,jun,31,133,Pawnee,0.5951107182724118,394
2010,jun,31,075,Grant,,0
2010,jun,31,021,Burt,0.6184382352941178,17
2010,jun,31,009,Blaine,0.5282,3
2010,jun,31,027,Cedar,0.6514012820512819,39
2010,jun,31,169,Thayer,0.566441958255364,1670
2010,jun,31,049,Deuel,0.4792423766430655,6822
2010,jun,31,123,Morrill,0.526332387171872,2167
2010,jun,31,115,Loup,0.5247188524590165,61
2010,jun,31,063,Frontier,0.5734315456717942,3642
2010,jun,31,125,Nance,0.6129407125733655,144
2010,jun,31,107,Knox,0.6760545684097842,171
2010,jun,31,135,Perkins,0.5087644473326336,8589
2010,jun,31,037,Colfax,0.6185853448275862,58
2010,jun,31,023,Butler,0.6144268656716417,67
2010,jun,31,031,Cherry,0.6142394511920828,54
2010,jun,31,183,Wheeler,0.6804277777777779,9
2010,jun,31,061,Franklin,0.5699526014212223,1257
2010,jun,31,029,Chase,0.5669429607043891,3592
2010,jun,31,059,Fillmore,0.6190896235898582,212
2010,jun,31,185,York,0.6304931798051374,54
2010,jun,31,035,Clay,0.5935428983652792,304
2010,jun,31,033,Cheyenne,0.4942840250559863,15236
2010,jun,31,069,Garden,0.5012433616974035,3903
2010,jun,31,083,Harlan,0.5393690332182726,2333
2010,jun,31,091,Hooker,0.5807500000000001,2
2010,jun,31,147,Richardson,0.6191248909429239,131
2010,jun,31,065,Furnas,0.5317534124731209,4446
2010,jun,31,175,Valley,0.6860432203389835,59
2010,jun,31,141,Platte,0.598674705882353,170
2010,jun,31,121,Merrick,0.6373956955557698,42
2010,jun,31,079,Hall,0.6368486857319048,51
2010,jun,31,081,Hamilton,0.6095022556390978,133
2010,jun,31,093,Howard,0.6600320519791212,73
2010,jun,31,001,Adams,0.5837006868456983,435
2010,jun,31,099,Kearney,0.5495542744768038,541
