year,period,state_fips,county_fips,county_name,edd_29c,gdd_10_30c,days_above_30c,days_above_35c,dry_days,heavy_rain_days
2010,jun,17,061,Greene,43.986028086034636,409.0721344914371,14.244833721089366,0.0,16.87340905980566,1.5013685507048036
2010,jun,17,157,Randolph,85.50866784364324,440.83068535763107,21.079445225616762,3.275597596829861,20.255400741403555,0.16630448676978143
2010,jun,17,149,Pike,43.583715281170065,404.3176943925333,14.682252244323166,0.0,14.7008009153318,2.825844921668721
2010,jun,17,145,Perry,68.61329281892166,443.7539186263588,17.941276595744682,0.016255319148936166,18.7787659574468,0.6417021276595745
2010,jun,17,087,Johnson,78.46058809173084,444.1842001394056,22.403783754055976,0.1468954517956332,19.583182093163938,0.35065720728152644
2010,jun,17,173,Shelby,46.67572296204472,409.5119595309136,15.145954637366913,0.0,15.266621190342775,2.3387823714278753
2010,jun,17,051,Fayette,56.431620000195494,417.6208382679509,17.384851559857417,0.0,15.566076028413082,1.4874977233106963
2010,jun,17,139,Moultrie,36.83868376723419,403.8568755269691,12.353852846810593,0.0,15.018326173255742,2.221001685790418
2010,jun,17,017,Cass,37.6254895510658,397.7605583435541,12.844463759717993,0.0,13.92998213337196,1.8851224105461386
2010,jun,17,015,Carroll,10.30896813091786,342.5639215331712,4.275153139356815,0.0,9.854096477794794,1.0772588055130172
2010,jun,17,047,Edwards,84.52050898095412,437.41160967731804,21.52563884156729,0.5738500851788757,19.72206132879046,0.1479557069846678
2010,jun,17,079,Jasper,62.21650702161969,422.48234800240743,18.618312834829858,0.0,15.800611182373805,1.7783520712291556
2010,jun,17,187,Warren,20.490565998085252,379.44096942178913,7.846195450089578,0.0,12.11023222796876,3.8769901632694443
2010,jun,17,153,Pulaski,103.66074365824069,464.13602926868055,25.061810574362877,4.18647774819323,21.35888170406999,0.023963484214530244
2010,jun,17,165,Saline,68.45902847649866,438.5059757447484,20.05595676737903,0.012527634487840831,18.486465241955305,0.7586342422009338
2010,jun,17,101,Lawrence,73.94581969073262,431.65621569795223,19.88879923344597,0.0,17.81789298502194,1.124010287962076
2010,jun,17,045,Edgar,39.738584987468656,401.9359295879537,12.801409123477423,0.0,14.883986147599703,2.3462801528540713
2010,jun,17,071,Henderson,23.931630695186286,390.6203817910439,10.001802467994644,0.0,11.229837777880482,4.401441974395713
2010,jun,17,199,Williamson,73.82123636652531,443.9528182564186,21.019984594317012,0.012538514207463195,19.845515234508728,0.7551780212256075
2010,jun,17,077,Jackson,85.68739030450193,449.1088108281844,22.59045593091187,1.545561341122682,21.0981076962154,0.7815913131826264
2010,jun,17,147,Piatt,26.74907202839977,393.6631997541875,10.04916929547844,0.0,13.970389064143003,2.57875920084122
2010,jun,17,053,Ford,18.729657092902016,368.9161602806101,7.681776903284395,0.0,15.347358861813222,2.862683517481458
2010,jun,17,019,Champaign,28.299017323296443,390.48625430665123,10.117551975921076,0.0,13.965646656633782,3.2534232577151023
2010,jun,17,029,Coles,35.42519657696019,405.0770777327373,11.853446385498136,0.0,15.714640742635773,2.1551787150062127
2010,jun,17,035,Cumberland,52.306828685760486,414.21440563343674,17.045135135135133,0.0,15.611243243243242,2.353567567567567
2010,jun,17,183,Vermilion,29.819527699565672,388.4996662295008,10.554691826479333,0.0,15.366485488667815,2.8034663111475746
2010,jun,17,115,Macon,36.48741999165319,405.8402994715258,12.46345172839897,0.0,15.744051202433377,3.197015303697601
2010,jun,17,049,Effingham,57.3334873086805,418.73781527003115,17.855427342069234,0.009974574613729708,15.560766673185995,2.644709563856836
2010,jun,17,067,Hancock,41.33935734079498,398.4760913981862,13.763502492070687,0.028885364748527424,12.937743543271417,4.780063434526509
2010,jun,17,095,Knox,15.999565278953693,371.07820440573084,5.9551761751350805,0.0,12.704954212221914,3.7781639227822734
2010,jun,17,109,McDonough,30.184502644478275,387.29932563297393,11.617150173312934,0.0,13.70614870561784,4.2891983886581535
2010,jun,17,081,Jefferson,59.6749623274176,429.1971134647297,16.88164988632673,0.0,19.595712893796687,0.6849301721338096
2010,jun,17,113,McLean,20.673808895121827,377.7611587250116,8.425157115878763,0.0,14.73378533172348,1.7069285780625987
2010,jun,17,039,De Witt,24.23093249756236,387.32614931820393,9.161305168208386,0.0,15.012333747526352,3.9455106079433024
