year,period,state_fips,county_fips,county_name,soil_moisture_vol
2010,jun,31,129,Nuckolls,0.3206370745196401
2010,jun,31,101,Keith,0.28336739524598664
2010,jun,31,137,Phelps,0.3102269150956042
2010,jun,31,181,Webster,0.3166572601481935
2010,jun,31,015,Boyd,0.3942338428106675
2010,jun,31,171,Thomas,0.23680385681692803
2010,jun,31,089,Holt,0.266784592585204
2010,jun,31,017,Brown,0.2709374015080349
2010,jun,31,103,Keya Paha,0.34887441840913014
2010,jun,31,077,Greeley,0.33388138594446654
2010,jun,31,095,Jefferson,0.34184039052470533
2010,jun,31,151,Saline,0.36137262192090663
2010,jun,31,057,Dundy,0.17999102372928577
2010,jun,31,131,Otoe,0.37904683667958483
2010,jun,31,087,Hitchcock,0.23347728036292006
2010,jun,31,105,Kimball,0.28374659272422004
2010,jun,31,127,Nemaha,0.3746632394171651
2010,jun,31,041,Custer,0.3382770482509118
2010,jun,31,143,Polk,0.3654676794438074
2010,jun,31,045,Dawes,0.3160628305718413
2010,jun,31,179,Wayne,0.3612536542247254
2010,jun,31,071,Garfield,0.2623329720235477
2010,jun,31,013,Box Butte,0.2816701981226946
2010,jun,31,173,Thurston,0.3733810435061938
2010,jun,31,011,Boone,0.36043557538364135
2010,jun,31,145,Red Willow,0.2469702394606267
2010,jun,31,149,Rock,0.2687888033893924
2010,jun,31,005,Arthur,0.22885829208248998
2010,jun,31,085,Hayes,0.23147644652304378
2010,jun,31,097,Johnson,0.3676549674504251
2010,jun,31,003,Antelope,0.26251275144089214
2010,jun,31,163,Sherman,0.3623896258204676
2010,jun,31,161,Sheridan,0.27194410657744766
2010,jun,31,133,Pawnee,0.34410518435490406
2010,jun,31,075,Grant,0.22616128230945123
2010,jun,31,021,Burt,0.3704680209013868
2010,jun,31,009,Blaine,0.2438959793294882
2010,jun,31,027,Cedar,0.366208700540658
2010,jun,31,169,Thayer,0.33023716684324345
2010,jun,31,049,Deuel,0.2932989436409179
2010,jun,31,123,Morrill,0.28199955320171366
2010,jun,31,115,Loup,0.26206685135979163
2010,jun,31,063,Frontier,0.2774612228447212
2010,jun,31,125,Nance,0.36741968451120366
2010,jun,31,107,Knox,0.3405699297258079
2010,jun,31,135,Perkins,0.2826514352369191
2010,jun,31,037,Colfax,0.36570124080533684
2010,jun,31,023,Butler,0.3692860961509816
2010,jun,31,031,Cherry,0.2431787937319824
2010,jun,31,183,Wheeler,0.25727150918631136
2010,jun,31,061,Franklin,0.3050923979276748
2010,jun,31,029,Chase,0.2444789794839879
2010,jun,31,059,Fillmore,0.3457645206347791
2010,jun,31,185,York,0.3593710842845482
2010,jun,31,035,Clay,0.3366266236774895
2010,jun,31,033,Cheyenne,0.2869079611886874
