year,county_fips,county_name,ndvi_corn_mean,corn_pixel_count
2011,135,Monroe,0.7708937748387678,3022
2011,117,Lucas,0.7592269768333523,3232
2011,057,Des Moines,0.7605963315243333,6767
2011,011,Benton,0.7968998965379748,17881
2011,113,Linn,0.793241153932242,14593
2011,105,Jones,0.7976256465413721,14443
2011,103,Johnson,0.7847338255170855,10526
2011,183,Washington,0.7708610717349194,10857
2011,045,Clinton,0.7929754646357771,17944
2011,163,Scott,0.789007988236848,10178
2011,139,Muscatine,0.7897765444341942,8473
2011,169,Story,0.8045954705155671,15064
2011,015,Boone,0.8148046201994914,14670
2011,121,Madison,0.777434387554676,7401
2011,181,Warren,0.7631867782698513,6495
2011,049,Dallas,0.7972261646026415,12430
2011,153,Polk,0.7884582878962588,7943
2011,077,Guthrie,0.8079214848136526,11556
2011,099,Jasper,0.8043789311852212,16166
2012,149,Plymouth,0.724578695709645,20283
2012,193,Woodbury,0.7550240533952678,19791
2012,027,Carroll,0.7081782309022857,17590
2012,061,Dubuque,0.7578790096965103,11403
2012,101,Jefferson,0.7173519173011846,6128
2012,187,Webster,0.7680334466161389,19572
2012,111,Lee,0.7387869076769297,6667
2012,127,Marshall,0.7906918807475982,13156
2012,195,Worth,0.7777509437240492,10875
2012,033,Cerro Gordo,0.7473060212561213,15607
2012,051,Davis,0.6452444352542427,4101
2012,179,Wapello,0.7063029091774491,4992
2012,041,Clay,0.795647413504925,14135
2012,059,Dickinson,0.7925317015024178,8385
2012,021,Buena Vista,0.7492860943204371,15408
2012,013,Black Hawk,0.749310529450978,13088
2012,075,Grundy,0.7836709624901586,13599
2012,017,Bremer,0.7870455887355581,11218
2012,085,Harrison,0.7299240880620905,16815
2012,129,Mills,0.7267494656711938,8574
2012,155,Pottawattamie,0.7178234027760815,21785
2012,123,Mahaska,0.7508449902203675,11419
2012,125,Marion,0.740060941029772,6956
2012,053,Decatur,0.7174635023527247,3304
2012,031,Cedar,0.7830943046565567,14016
2012,151,Pocahontas,0.7651830628742113,16456
2012,109,Kossuth,0.7891690632269389,27807
2012,089,Howard,0.776002307185991,11663
2012,147,Palo Alto,0.7984330184790431,15854
2012,159,Ringgold,0.7128101082321469,5033
2012,025,Calhoun,0.733737082759738,16831
2012,039,Clarke,0.7176468093293386,3629
2012,065,Fayette,0.7893859728128093,16514
2012,001,Adair,0.6972772834952731,10857
2012,037,Chickasaw,0.773092702716592,12972
2012,081,Hancock,0.767260428039297,18083
