year,period,state_fips,county_fips,county_name,precip_sum_mm,tmean_c,tmax_c,tmin_c
2010,jun,17,9,Brown,237.3069351755161,24.099283714142597,29.733471183146516,18.46608643387442
2010,jun,17,151,Pope,101.86694373081838,25.942686268017983,31.283276392812393,20.60310174761308
2010,jun,17,33,Crawford,183.56948863059736,25.554048654523527,31.34196039251615,19.767145907022847
2010,jun,17,135,Montgomery,198.51124632544216,24.81442473021968,30.221966513650095,19.407863143235534
2010,jun,17,55,Franklin,102.2611971664326,25.9615526840963,31.049854182554967,20.87425404027821
2010,jun,17,23,Clark,187.8511521523889,25.169323809548416,31.04144645050743,19.29821043628771
2010,jun,17,59,Gallatin,101.85765388533711,26.22397712739939,31.457689746488303,20.99124135593019
2010,jun,17,75,Iroquois,224.49591624959564,22.92326091575776,28.54275564928707,17.304769777423832
2010,jun,17,41,Douglas,191.8572438322735,24.130407938555464,29.383243643465605,18.87854463637882
2010,jun,17,189,Washington,114.90481954970171,25.825303204683127,30.918208182664564,20.73337769034895
2010,jun,17,159,Richland,130.72554293236476,25.777523403687734,31.461539708616613,20.09450207612676
2010,jun,17,65,Hamilton,107.57737022312384,25.79465870161348,31.018280329652843,20.57202080364089
2010,jun,17,193,White,88.77804545480966,26.25020659912869,31.61676250603699,20.88464354153288
2010,jun,17,169,Schuyler,198.81671807211487,23.96506536773619,29.575228569029807,18.355895537777062
2010,jun,17,181,Union,85.80619727892164,26.80832362358029,32.223714329147626,21.393951126269844
2010,jun,17,85,Jo Daviess,189.84188513130027,21.480938627805894,27.069128281699623,15.893716011248069
2010,jun,17,125,Mason,203.61498446723837,23.93161926199569,29.39956989982956,18.464637804946506
2010,jun,17,191,Wayne,107.21353203863636,25.72636027595727,31.17273952771905,20.28097135128805
2010,jun,17,69,Hardin,84.59441552604973,25.865078704827507,31.115047060968894,20.616086164639206
2010,jun,17,61,Greene,158.89387782928495,24.580855706558022,29.977322059632396,19.185399085434184
2010,jun,17,157,Randolph,94.40411361291952,26.280526705993857,31.767949672515144,20.794095165175147
2010,jun,17,149,Pike,201.30785013784137,24.399638915141693,29.841969110956917,18.958302775354294
2010,jun,17,145,Perry,114.12664493898536,26.124725497144336,31.15374361687516,21.09669502031041
2010,jun,17,87,Johnson,91.34452569605318,26.25895176228598,31.54453864897699,20.974369441703065
2010,jun,17,173,Shelby,227.90830879228645,24.6186498546756,30.153840357398757,19.084450643048132
2010,jun,17,51,Fayette,201.2496785382203,25.050920927989523,30.536329730104868,19.566513163955392
2010,jun,17,139,Moultrie,207.49873714520993,24.301517345302543,29.656694207691142,18.947335931474143
2010,jun,17,17,Cass,209.4284593019584,24.094876479420975,29.65151327351369,18.53925292374136
2010,jun,17,15,Carroll,196.44628814715065,21.875836793788547,27.62216808010936,16.130493382984064
2010,jun,17,47,Edwards,98.12679527639509,26.11869627564283,31.776533424305963,20.4618507437243
2010,jun,17,79,Jasper,182.21821564692976,25.2880551355394,30.848772204813663,19.728337226593656
2010,jun,17,187,Warren,305.6404232855675,23.25716947206026,28.626963371542747,17.888376272389994
2010,jun,17,153,Pulaski,64.72631032671705,27.33910282867043,32.54134929275368,22.13785564786085
2010,jun,17,165,Saline,120.17680231304186,25.92033192543925,31.117232057088383,20.724421293089534
2010,jun,17,101,Lawrence,136.06673058825544,25.76051033724514,31.374267829469098,20.147734841767043
2010,jun,17,45,Edgar,221.87998173978215,24.281351220673237,29.670083741968615,18.89361219460793
2010,jun,17,71,Henderson,287.2623436990914,23.68107166070784,28.867381089407044,18.49575838315628
2010,jun,17,199,Williamson,109.5252085924626,26.18964759195884,31.374930470416647,21.0053490516626
