state_fips,county_fips,county_name,elevation_m,slope_deg
17,045,Edgar,203.16362319683046,1.8532129837186044
17,071,Henderson,195.68388101657507,2.628852179173131
17,199,Williamson,143.56010595544615,3.8044963974194634
17,077,Jackson,140.48721347567223,5.095365204983857
17,147,Piatt,211.96643799008407,1.6134955470270194
17,053,Ford,228.0522229255191,1.7692813410527701
17,019,Champaign,216.23882184131838,1.5825669050056859
17,029,Coles,207.90095028010177,1.8898364741906166
17,035,Cumberland,185.26432201015643,2.368472972833187
17,183,Vermilion,208.8598547756236,1.8997737055893813
17,115,Macon,203.46509461511707,2.0839389308501217
17,049,Effingham,176.76263086455862,2.3764729712584733
17,067,Hancock,195.442644742854,2.472719335651615
17,095,Knox,219.0774809950602,2.9110454172160067
17,109,McDonough,202.90433638220088,2.3868561404408237
17,081,Jefferson,149.5204880231739,2.733129858252375
17,113,McLean,234.16605580301797,1.819435339914106
17,039,De Witt,220.5954691238002,1.8797281312180476
17,105,Livingston,209.0325817551304,1.7515446079985737
17,003,Alexander,120.78805073165375,4.999810883137418
17,093,Kendall,199.8095304703968,1.8663715377550472
17,031,Cook,191.83691645553782,1.4479928707788634
17,037,DeKalb,252.94204200918867,1.8452151683740374
17,089,Kane,248.90948761209384,2.2967874862219455
17,063,Grundy,178.07650348169653,1.93923450064758
17,111,McHenry,266.56714345559817,2.5876714925180258
17,197,Will,202.73091974886557,2.16668818263183
17,043,DuPage,224.76198743543173,2.4721895779929257
17,097,Lake,193.06824638946523,0.9316231141838939
17,091,Kankakee,198.44025905412488,1.9843409740207405
17,011,Bureau,214.36924066955964,2.5593031123439345
17,155,Putnam,185.34807936234327,2.7418519103181795
17,099,LaSalle,200.499624037144,2.1953699306949646
17,131,Mercer,207.7849368535036,2.7259940071504185
17,161,Rock Island,203.91285878312743,2.987875409511919
17,073,Henry,216.72721712511202,2.5284797572616653
17,103,Lee,241.18967336052614,2.4278685287669393
17,195,Whiteside,200.4406505567252,2.332267505759232
19,149,Plymouth,400.72256097737454,3.330651518416979
19,193,Woodbury,371.8226862912036,4.007808596377959
19,027,Carroll,390.06698548746937,3.4405743015369072
19,061,Dubuque,294.9972220354764,4.84315973022877
19,101,Jefferson,223.61478324691493,2.8977986205155175
19,187,Webster,340.39166198446975,2.547920697083689
19,111,Lee,198.64163397510163,2.7182197209491528
19,127,Marshall,300.63500856990714,3.3496227153155185
19,195,Worth,371.34557827814535,2.1685003870062083
19,033,Cerro Gordo,356.05153802608527,2.200822813004073
19,051,Davis,252.09339305085706,3.9065490843440234
19,179,Wapello,233.70056694151816,3.5575206111151148
19,041,Clay,415.8764018411071,2.166635153947657
19,059,Dickinson,439.6875716631817,1.966754745255668
19,021,Buena Vista,408.1575434971824,2.9168875444962326
19,013,Black Hawk,280.45759089102836,3.069323440584586
19,075,Grundy,311.71927552083395,3.352000462804587
19,017,Bremer,308.9264346066819,2.8300305847926532
19,085,Harrison,351.6178112276473,4.749514075381106
19,129,Mills,330.42445936677086,3.835814170170858
19,155,Pottawattamie,356.61383085427894,4.255675490607159
19,123,Mahaska,241.49248399349065,3.468818786235652
19,125,Marion,252.49983207661847,4.725122532885804
19,053,Decatur,321.2774848024775,4.211058140138674
19,031,Cedar,237.83022736270726,2.919537946570162
19,151,Pocahontas,371.6541528157378,2.2573919976531998
19,109,Kossuth,355.2918130691284,2.078296478123958
19,089,Howard,380.9446205772275,2.4470877989322455
19,147,Palo Alto,382.1450382865646,1.984812855301021
19,159,Ringgold,351.73058190891857,4.077409533695023
19,025,Calhoun,357.7524288191729,2.8936069542217684
19,039,Clarke,332.86969222638663,4.373336119842019
19,065,Fayette,336.028330808375,3.3797414655740488
19,001,Adair,386.33475466077755,5.101554557956244
19,037,Chickasaw,344.68972888645646,2.490367348139912
19,081,Hancock,369.13470975673465,2.228127155873554
19,157,Poweshiek,277.3780409414561,3.578765427478392
19,165,Shelby,398.0515746902715,4.348007925500175
19,185,Wayne,319.01483380489753,4.085314008904089
19,097,Jackson,248.04450151010283,4.927993181866876
19,043,Clayton,299.91857423749997,5.627152185211856
19,007,Appanoose,290.29035616649855,4.193542517818184
19,177,Van Buren,217.27599989374065,3.139912831332267
19,197,Wright,354.76344841072574,2.011332872632165
19,137,Montgomery,350.30973895681905,4.501167812593198
19,175,Union,370.2082638278628,4.248528725581215
19,107,Keokuk,234.96540435212037,3.279768557795933
19,131,Mitchell,362.1705504600566,1.9056760655972707
19,191,Winneshiek,349.9797900436951,4.509472323735796
19,161,Sac,394.926047404659,2.924361931013677
19,055,Delaware,309.1323614284147,3.073134744966159
19,067,Floyd,325.66618654803773,2.2599540157017075
19,009,Audubon,414.47002746764065,4.244366083687522
19,079,Hamilton,339.7404972915826,2.1654479075483417
19,069,Franklin,352.8208796705777,2.437869553749511
19,141,O'Brien,437.1422002295897,2.2755153479107157
19,167,Sioux,414.4055150615338,2.7084514844253063
19,005,Allamakee,306.0958024675876,7.101431456275548
19,189,Winnebago,373.5542213635725,2.4083644902952015
19,093,Ida,409.25089561704385,3.7007461814516813
19,029,Cass,380.7604373348105,4.409344014960119
19,083,Hardin,336.251867932387,3.2165814501796364
19,173,Taylor,362.79122834037514,4.198692022176813
19,145,Page,330.2755137597266,4.4572075537794165
19,035,Cherokee,411.2655459235699,2.85839810022466
19,071,Fremont,310.50018482268246,3.733622520258927
19,095,Iowa,248.91902930248125,3.797164663546501
19,023,Butler,303.87746993676944,3.4666917490441973
19,063,Emmet,395.42262172671417,2.020657515662035
19,047,Crawford,408.67482244014695,4.564215518891204
19,019,Buchanan,300.55671754288807,2.4427849875952115
19,143,Osceola,462.07660439527626,2.2867264126853515
