year,county_fips,county_name,precip_sum_mm,tmean_c,tmax_c,tmin_c
2010,161,Sac,636.4323812191818,22.396699116484097,27.894057432775984,16.900347464447176
2010,055,Delaware,615.1808710425104,22.107429719642234,27.578427973050168,16.637432878713287
2010,067,Floyd,438.5019293280397,22.291731362708614,27.821271696853913,16.7631897408033
2010,009,Audubon,676.0868017331632,22.60817969941528,28.15211116582936,17.06524331929455
2010,079,Hamilton,658.811028880273,23.045085447128347,28.57039142427529,17.52077667825036
2010,069,Franklin,614.4416145992001,22.60968910987546,28.21452377419378,17.005854427588567
2010,141,O'Brien,603.3818985590472,22.33758092399692,28.155811434436018,16.520360513672955
2010,167,Sioux,575.7641912432368,22.44447568545333,28.37387371403565,16.516062377328954
2010,005,Allamakee,482.7757855132862,22.206473412954015,27.342348937826642,17.07159300964776
2010,189,Winnebago,426.9824530485036,22.019852282714318,27.452608140924095,16.58808986589092
2010,093,Ida,627.5635162738946,22.482450446086137,27.984329835297057,16.981562049827758
2010,029,Cass,632.4354259120814,23.2528498681922,29.008011687532882,17.498679409771352
2010,083,Hardin,563.6860281952794,22.805900291585697,28.30725597316128,17.305543316857488
2010,173,Taylor,473.8263293285556,23.80774369097314,29.281259637388253,18.335208431150587
2010,145,Page,416.6336527508045,23.952062229539536,29.45492178878889,18.450187293240262
2010,035,Cherokee,617.4581578714198,22.547112535682174,28.27520740065128,16.820017065449672
2010,071,Fremont,387.5411766909846,24.613891201690496,30.19402209653333,19.034741361583162
2010,095,Iowa,546.6762292183855,23.2726624022977,28.642256654813036,17.904051958709278
2010,023,Butler,558.648649493395,22.832287941143896,28.401601750569807,17.26396271698699
2010,063,Emmet,491.46624695595176,22.11660401789215,27.677272673420973,16.556916930036653
2010,047,Crawford,599.6785671225775,22.476312451153163,27.990284531752902,16.96331995550048
2010,019,Buchanan,621.9067577231453,22.28297903924336,27.726771709054994,16.8401710622629
2010,143,Osceola,504.8680443504121,22.127429422322002,28.016380010577638,16.23946642451699
2010,073,Greene,605.3195778260881,22.794346928049894,28.231062114167603,17.358626217887323
2010,087,Henry,595.2632232571679,24.468400487919048,29.754722933931426,19.183084846948198
