year,county_fips,county_name,yield_bu_acre,ndvi_corn_mean,corn_pixel_count,precip_sum_mm,tmean_c,tmax_c,tmin_c
2016,103,JOHNSON,189.0,0.8275831905089399,9497,486.2415802155497,23.10184332741957,28.627367531938273,17.577322134407467
2017,103,JOHNSON,213.1,0.8220436963213232,9614,265.0692723878963,21.997905052285304,28.319637095440314,15.67716088391658
2018,103,JOHNSON,212.3,0.8000409287470547,9441,420.78729955687294,22.98619812378616,28.74673166205042,17.22666093848588
2019,103,JOHNSON,181.3,0.7440581118324603,9752,287.85300360951186,22.612584148844807,28.240995945612234,16.984271980989565
2020,103,JOHNSON,161.8,0.7743281850010441,10307,250.59118025357336,23.189397672643288,29.05343165014398,17.32546563630771
2022,103,JOHNSON,205.2,0.8282609214560737,9603,301.8180845750448,23.01788549619335,28.862694622652437,17.17321792264187
2023,103,JOHNSON,203.1,0.7996526145770321,9945,187.81183781294456,22.85493225930589,29.233122664662183,16.476882983364625
2010,105,JONES,168.9,0.7967414294108143,14103,528.8684756528701,22.53212890465316,27.983878706525463,17.081378297436142
2011,105,JONES,171.4,0.7976256465413721,14443,346.93974830117986,22.40275491823891,28.203835369553683,16.602650320629742
2012,105,JONES,127.3,0.7501148038379281,13579,175.0200692313462,22.820115185523225,29.831255738546687,15.809956121222918
2013,105,JONES,179.3,0.7867694638070446,12805,260.53807404651684,21.13758669103578,27.102070761747143,15.174089093969776
2014,105,JONES,180.1,0.7982388568031232,12830,460.6247422480468,20.84342205899261,26.369675131095477,15.31815956603649
2015,105,JONES,186.6,0.8172969040188753,13335,341.2107056921493,20.547438779195147,26.248892518804983,14.846979272117908
2016,105,JONES,201.3,0.8579626806779652,13205,460.1372790667141,22.05510979449841,27.673173377813303,16.43803678435688
2017,105,JONES,217.0,0.8328197554079217,13020,363.34408494962514,20.89213649743841,27.05889062287087,14.726378162472749
2018,105,JONES,208.9,0.8080368422465201,13036,482.850400334793,21.951317498554555,27.651848933020297,16.251781946847608
2019,105,JONES,203.0,0.7674610455987785,14055,273.93324417860276,21.59643445640387,27.403945376788,15.789026068635687
2020,105,JONES,171.6,0.7660974535205246,14090,283.27056049696824,22.34191937527915,28.467747807643207,16.216189806206284
2022,105,JONES,218.2,0.8206787611713618,13189,425.31769942569423,21.403211216712187,27.46970995265753,15.336854768974836
2023,105,JONES,190.7,0.7949971560229382,13244,170.73700146623375,21.57260225470491,28.437250056895177,14.708095543824422
2010,107,KEOKUK,111.2,0.7624122208919922,10344,724.1607239402332,23.76045803254181,29.1877021076668,18.33421352854074
2011,107,KEOKUK,152.4,0.7877759441427061,10125,303.5477841177539,23.89085790093661,29.506999068798276,18.275706504141265
2012,107,KEOKUK,113.0,0.7557898155220987,9782,212.83436718631043,23.859529424308008,31.00275368330925,16.71729343878335
2013,107,KEOKUK,156.7,0.7688797682659745,9049,136.28774911124614,22.063111061470135,28.047597774807535,16.07961848816574
2014,107,KEOKUK,193.2,0.8435217930614206,9236,486.040622619216,21.58972478477467,26.924682041347086,16.25575714586187
2015,107,KEOKUK,181.0,0.8293723938791232,9656,404.7333675186368,21.777781283089663,27.143833427880264,16.41272321344073
2016,107,KEOKUK,208.6,0.8252608541838723,9804,449.77453027690217,23.340647618394893,29.13224913474197,17.550037953089923
2017,107,KEOKUK,176.4,0.8050604137547742,9930,172.4954528053696,22.529146698653097,29.249624792277572,15.80966724387064
2018,107,KEOKUK,203.7,0.7957759287384043,9753,413.440746169167,23.209763184369713,29.166606834525155,17.253907012927545
2019,107,KEOKUK,175.4,0.7892385588022043,10938,275.5013379963545,22.605637151276422,28.27436862787628,16.93700607382399
2020,107,KEOKUK,163.5,0.7858212296913665,10989,298.21914033841415,23.38308555469257,29.279753378154417,17.486519423088403
2021,107,KEOKUK,176.5,0.8065925209406237,10828,325.97772151503113,23.517683764194004,29.147742441640496,17.851244835557093
2022,107,KEOKUK,170.4,0.8165284627127926,10064,168.9600897500879,23.323073356470623,29.464645408235494,17.181643896347175
2023,107,KEOKUK,211.6,0.8347604711847302,10489,240.84265744405735,22.667805858927796,28.93155054867116,16.404203514470677
2010,109,KOSSUTH,184.0,0.8179544982567927,27499,470.15635850539934,22.394789019824273,27.89629011710693,16.89427718343125
2011,109,KOSSUTH,179.9,0.8105827204234113,28116,293.5888906005614,22.19819085771634,27.728363118525028,16.669028805534538
2012,109,KOSSUTH,164.6,0.7891690632269389,27807,165.69415259362927,22.802950085793803,29.191096136027053,16.41579610689467
2013,109,KOSSUTH,167.7,0.7468229936026036,27702,223.8462549423197,21.449736811704245,27.144541625472684,15.75592884036801
2014,109,KOSSUTH,176.6,0.8077277689366481,28478,463.07470532937987,20.65947299951409,25.83240380780273,15.487533346176324
2015,109,KOSSUTH,199.0,0.8325287512801716,28014,390.0768081170796,20.7852751697101,26.202941326312892,15.368603118313908
2016,109,KOSSUTH,204.7,0.8266820031399548,29915,369.6360267780758,21.90111658666983,27.558532619588505,16.244695737758168
2017,109,KOSSUTH,205.6,0.816802991511023,28069,318.74495285061846,21.258304541969284,27.203343120303337,15.314255414103576
2018,109,KOSSUTH,180.2,0.7984173190978611,28016,459.7520972653665,21.98078534298759,27.33638452733361,16.6261732482289
2019,109,KOSSUTH,198.7,0.824242409140279,28946,293.2692419653848,21.0302902635488,26.490702181752,15.569980451966446
2020,109,KOSSUTH,190.7,0.8160731721599265,28475,208.40128175925537,22.58695894322612,28.65142531126192,16.522592879226067
